fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.35,0.54,0.14,6.14,0.059,44.0,117.5,0.99291,3.27,0.79,9.82,6
6.9,0.56,0.24,3.62,0.045,39.2,106.4,0.99607,3.51,0.59,10.36,6
7.45,0.61,0.3,6.3,0.051,30.6,117.4,0.99737,3.2,0.53,9.71,5
8.07,0.61,0.3,7.03,0.045,23.5,125.9,0.99644,3.18,0.45,10.19,6
6.84,0.36,0.25,5.62,0.046,37.0,116.0,0.99699,3.23,0.42,8.61,6
6.84,0.41,0.36,7.82,0.047,33.9,115.8,0.99349,3.16,0.44,10.71,5
8.11,0.55,0.19,3.84,0.052,39.0,101.0,0.99216,3.32,0.63,10.5,6
7.54,0.55,0.29,3.13,0.045,36.4,101.7,0.998,3.54,0.65,9.68,7
6.67,0.55,0.31,2.33,0.063,40.5,86.9,0.99435,3.35,0.44,11.16,6
7.38,0.89,0.35,7.24,0.041,24.6,150.0,0.9945,3.26,0.69,11.44,3
6.68,0.56,0.37,5.98,0.048,43.2,90.1,0.99766,3.26,0.55,8.89,3
6.67,0.61,0.19,4.92,0.046,32.0,101.1,0.99611,3.07,0.61,9.74,5
7.17,0.6,0.15,5.42,0.064,50.8,100.6,0.99591,3.43,0.76,9.73,7
5.66,0.57,0.43,3.31,0.052,23.1,132.9,0.99933,3.29,0.69,9.56,5
5.79,0.47,0.33,8.67,0.06,47.4,109.1,0.99371,3.27,0.57,11.33,6
6.61,0.58,0.23,5.19,0.035,32.0,140.0,0.99686,3.78,0.51,10.31,5
6.29,0.42,0.46,5.16,0.053,23.5,101.5,0.99511,3.34,0.38,10.24,5
7.22,0.48,0.31,6.09,0.059,25.2,120.6,0.99554,3.19,0.53,8.5,7
6.36,0.45,0.42,5.72,0.051,26.8,98.3,0.99806,3.24,0.58,11.14,6
6.01,0.51,0.31,5.34,0.061,34.2,157.9,0.99602,3.47,0.5,9.26,4
8.03,0.73,0.51,3.81,0.045,35.2,91.2,0.99608,3.32,0.59,10.56,6
6.84,0.31,0.48,5.71,0.064,24.3,121.2,0.99715,3.08,0.61,10.78,3
7.05,0.57,0.28,7.82,0.073,29.8,127.7,0.99427,3.44,0.58,11.86,6
6.0,0.34,0.4,7.02,0.046,51.4,123.3,0.99332,3.2,0.53,9.19,6
6.62,0.45,0.36,7.39,0.046,47.3,111.3,0.99291,3.58,0.62,7.48,4
7.08,0.61,0.44,4.23,0.065,34.4,112.4,0.99107,3.46,0.64,10.68,5
6.19,0.51,0.2,3.52,0.066,30.4,115.9,0.99911,3.23,0.49,12.3,5
7.26,0.39,0.37,4.81,0.045,31.2,112.1,0.99279,3.49,0.74,11.74,7
6.58,0.43,0.41,5.08,0.046,36.1,134.3,0.99456,3.31,0.59,10.71,8
6.8,0.57,0.12,6.64,0.047,19.8,159.2,0.99445,3.43,0.6,10.01,3
6.58,0.43,0.18,2.46,0.037,27.4,103.9,0.99561,3.37,0.67,11.31,7
8.3,0.52,0.1,7.29,0.041,13.3,87.6,0.99663,3.17,0.62,9.53,5
6.99,0.5,0.27,4.76,0.04,34.0,113.2,0.99672,3.2,0.7,10.98,5
6.26,0.43,0.37,4.36,0.042,36.5,166.6,0.99383,3.45,0.63,11.01,7
7.58,0.71,0.45,3.48,0.05,25.2,98.9,0.99467,3.25,0.54,11.56,7
6.15,0.56,0.31,2.52,0.052,45.7,147.8,0.99557,3.24,0.64,13.26,8
7.15,0.3,0.46,6.23,0.066,17.7,148.6,0.9945,3.16,0.49,10.89,6
5.63,0.52,0.16,5.11,0.04,15.4,103.9,0.99821,3.36,0.61,9.99,5
6.07,0.43,0.13,3.07,0.06,32.2,126.4,0.99598,3.61,0.6,10.47,7
7.14,0.59,0.29,3.06,0.048,40.5,147.6,0.99647,3.14,0.58,8.73,5
